frame,faceId,timeStamp,confidence,success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c,Class
6,,,,,0.96,1.05,0,0.18,2.14,0,0,1.76,3.12,1.39,0,0.16,0.12,0.54,0.57,0.11,0.27,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,Happy
7,,,,,0.79,0.78,0,0,1.93,0,0,1.76,3.18,2.15,0.08,0.22,0.22,0.28,0.56,0.13,0.27,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,Happy
8,,,,,0.93,0.78,0.02,0,1.98,0.42,0,1.37,3.04,1.92,0.08,0.68,0.22,0.26,0.37,0.04,0.27,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,Happy
9,,,,,0.75,0,0.1,0.11,2.24,0.66,0,0.97,2.95,1.29,0.08,1.4,0.33,0.01,0.59,0.4,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,Happy
10,,,,,0.99,0.68,0.1,0.11,2.62,1.24,0.07,1.46,2.86,1.19,0.02,1.89,0.11,0.01,0.5,0.36,0.17,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,Happy
11,,,,,1.55,1.17,0.29,0.11,2.52,1.23,0.07,1.7,3.02,1.63,0.49,1.61,0.11,0.01,0.28,0.36,0.17,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,Happy
12,,,,,1.29,1.17,0.32,0,2.54,1.73,0.07,1.8,2.76,1.77,2.16,1.7,0.2,0.23,0,1.07,0.17,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,Happy
13,,,,,0.93,0.49,0.32,0,2.68,2.24,0,2.06,2.85,1.86,2.7,1.87,0.27,0.43,0,1.2,0,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,Happy
14,,,,,0.23,0,0.1,0,2.77,3.06,0,1.81,2.02,0.94,2.63,2.03,0.4,0.43,0,1.2,0.21,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,Happy
15,,,,,0.43,0,0.15,0,2.84,2.85,0,2.12,2.45,1.47,1.15,1.55,0.2,0.2,0.41,0.13,0.24,1,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,Happy
16,,,,,0.96,0.82,0.67,0.51,2.25,2.58,0,1.8,2.48,1.32,0.59,0.84,0.13,0,0.83,0,0.24,1,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,Happy
17,,,,,1.13,0.82,0.67,0.51,2.23,2.15,0,1.99,3.16,1.62,0.26,0.59,0,0,1.36,0.3,0.03,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,Happy
18,,,,,1.41,0.92,0.52,0.51,1.73,1.91,0,1.84,2.92,1.28,0.19,0.14,0,0,1.13,0.3,0.18,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,Happy
19,,,,,1,0.1,0,0.19,1.96,1.09,0,2.13,2.99,1.19,0.67,0.31,0.32,0,0.72,0.59,0.25,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,Happy
20,,,,,1.16,0.1,0,0.19,1.13,0.33,0,1.35,2.4,0.93,0.73,0.19,0.49,0.34,0.4,0.69,0.25,1,1,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,Happy
21,,,,,0.59,0,0,0.19,0.65,0.04,0,0.85,1.9,1.2,1.48,0.48,0.49,0.63,0.22,0.69,0.28,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,Happy
22,,,,,0.32,0,0,0,0.68,0.42,0,0.7,1.97,1.6,1.07,0.39,0.38,0.85,0.22,0.41,0.39,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,Happy
23,,,,,0.43,0.27,0.55,0.02,1.38,0.38,0,1.76,2.54,2.39,1.31,1.62,0.22,0.85,0.54,0.54,0.39,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,Happy
24,,,,,0.43,0.49,0.77,0.02,2.28,0.38,0,2.5,3.36,2.33,0.67,1.31,0.22,0.56,1.37,1.17,0.96,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,Happy
25,,,,,0.43,0.49,0.96,0.02,2.59,0.9,0.18,2.42,2.63,1.81,0.71,1.98,0.5,0.36,1.79,1.29,1.16,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,Happy
26,,,,,0,0.22,0.76,0,2.9,1.44,0.18,2.27,2.88,1.56,0.34,0.93,0.5,0.21,1.42,1.32,1.16,0,1,0,0,1,1,0,1,1,1,0,1,0,0,1,1,0,0,Happy
27,,,,,0,0,0.56,0.49,2.17,1.44,0.18,2.14,2.36,1.4,0.11,1.16,0.5,0.46,0.94,1.32,0.38,0,1,0,0,1,1,0,1,1,1,1,1,0,0,1,1,0,0,Happy
28,,,,,0.37,0.22,0.47,0.82,2.08,1.21,0,1.68,2.52,1.82,0,0.78,0,0.55,0.52,1.87,0,0,1,0,0,1,1,0,1,1,1,1,1,0,0,1,1,0,0,Happy
29,,,,,0.37,0.22,0.46,0.82,1.73,1.47,0.2,1.1,2.01,1.43,0.01,0.74,0,0.37,0.75,1.74,0.18,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,1,0,0,Happy
30,,,,,0.69,0.32,0.44,0.59,2.01,1.47,0.2,0.89,1.97,1.48,0.01,1.14,0,0.5,0.4,1.51,0.34,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,1,0,0,Happy
31,,,,,0.6,0.1,0.34,0.26,1.96,1.78,0.27,1.56,2.38,1.41,0.01,1.79,0.31,0.6,0.4,1.62,0.34,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,Happy
32,,,,,0.6,0.1,0.65,0.26,1.87,1.27,0.07,1.79,2.27,2.25,0.75,2.39,0.56,0.9,0.19,1.97,0.16,0,1,0,0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,Happy
33,,,,,0.7,0,1.06,0,2.34,1.79,0.07,2.31,2.65,3.01,0.75,2.34,0.56,0.52,0.73,2.57,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,Happy
34,,,,,0.42,0,1.2,0,2.52,1.96,0,2.24,2.87,2.82,0.75,1.32,0.26,0.52,0.94,2.61,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,Happy
35,,,,,0.42,0,0.67,0,2.99,3.22,0,2.33,3.36,2.34,0,1.59,0,0.31,0.75,2.2,0.02,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,Happy
36,,,,,0,0,0.26,0,2.96,3.76,0,1.96,3.31,1.74,0,1.01,0.08,0.31,0.73,1.28,0.02,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,Happy
37,,,,,0.03,0,0.17,0,2.88,3.46,0,2.12,3.26,1.56,0,1.19,0.08,0.1,0.9,0.71,0.02,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,1,0,0,Happy
38,,,,,0.03,0,0.28,0,2.48,2.19,0.13,2.46,3.13,1.49,0.19,0.45,0.08,0,1.3,0.46,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,1,0,0,Happy
39,,,,,1.38,0.33,1.13,0,2.01,1.61,0.13,2.27,2.68,1.25,0.7,1.52,0.67,0,1.73,1.3,0.26,0,0,0,0,1,1,0,1,1,1,1,0,0,1,1,1,0,0,Happy
40,,,,,1.35,0.33,1.47,0,2.15,1.39,0.13,2.1,2.45,1.93,0.7,1.51,0.93,0.21,1.77,1.54,0.36,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,0,0,Happy
41,,,,,1.35,0.33,1.34,0.04,2.52,1.94,0,2.12,2.48,2.75,0.55,1.72,0.93,0.74,1.41,1.81,0.46,1,0,0,0,1,1,0,1,1,1,1,0,0,1,1,1,0,0,Happy
42,,,,,0,0,0.49,0.04,3.15,2.28,0,2.33,3.36,2.99,0.04,0.83,0.25,0.74,0.61,0.88,0.2,1,0,0,0,1,1,0,1,1,1,1,0,0,1,1,1,0,0,Happy
43,,,,,0,0,0.36,0.04,3.13,2.86,0,2.32,3.29,2.61,0.1,1.37,0.49,0.81,0.53,1.24,0.1,1,0,0,0,1,1,0,1,1,1,1,0,0,1,0,1,0,0,Happy
44,,,,,0.33,0,0.26,0,2.7,2.71,0,1.94,3.25,2.09,0.41,2.21,0.49,0.64,0.5,1.49,0.41,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,Happy
45,,,,,0.37,0.1,0.26,0,2.59,2.63,0.35,1.68,2.89,1.9,0.41,2.04,0.49,0.64,0.35,1.49,0.77,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,Happy
46,,,,,0.37,0.1,0,0.02,2.1,2.08,0.35,1.46,3.07,1.58,0.35,1.38,0,0.35,0.66,0.85,0.77,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,Happy
47,,,,,0.04,0.1,0,0.02,2.67,2.44,0.72,1.41,2.92,1.49,0.08,0.25,0.4,0.21,0.66,0.38,0.37,1,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,Happy
48,,,,,0,0,0.09,0.02,1.97,2.1,0.38,1.11,2.28,1.7,0.08,0.38,0.4,0.21,0.64,0.45,0.25,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,Happy
49,,,,,0.78,0.41,0.55,0,2.17,2.03,0.54,0.95,1.98,1.89,0.37,0.32,1.12,0.21,0.5,0.56,0.25,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,Happy
50,,,,,0.78,0.41,0.96,0,1.83,1.45,0.17,1.19,2.04,1.42,0.49,0.35,0.72,0,1.52,0.7,0.25,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0,Happy
51,,,,,0.78,0.41,0.93,0,2.57,2.11,0.17,1.84,2.85,1.17,0.49,0.22,0.82,0,1.86,1.04,0.07,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0,Happy
52,,,,,0,0,0.57,0,2.47,2.73,0.81,1.66,2.58,0.87,0.21,0.31,0.09,0.06,1.36,0.73,0.07,0,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,Happy
53,,,,,0.19,0.04,0.19,0,2.71,2.32,0.81,1.71,2.96,1.05,0.02,0.47,0.09,0.06,0.93,0.74,0.07,0,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,Happy
54,,,,,0.24,0.29,0.15,0.08,2.37,1.35,0.81,1.46,2.75,1.14,0.02,0.47,0,0.06,0.93,0.45,0.07,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,Happy
55,,,,,0.24,0.29,0.04,0.37,1.68,0.15,0,1.24,2.64,1.27,0.05,0.56,0,0,0.93,0.46,0.07,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,Happy
56,,,,,0.05,0.25,0.49,0.37,1.43,1.08,0.2,1.07,2.21,1.43,0.21,0.38,0.2,0,0.76,0.13,0.48,0,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,Happy
57,,,,,0.74,0.54,0.58,0.29,1.43,1.66,0.2,1.53,1.78,1.59,0.74,1.02,0.54,0,0.66,0.48,0.4,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,Happy
58,,,,,1.29,0.54,0.58,0,2.17,1.95,0.2,2.16,2.23,1.92,0.72,1.1,0.6,0,1,1.01,0.4,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,Happy
59,,,,,2.02,0.72,0.11,0,1.65,1.77,0,1.5,1.65,1.93,0.53,1.06,0.55,0,0.61,1.18,0,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,Happy
60,,,,,1.31,0.18,0,0.76,1.4,1.1,0,0.72,1.77,1.34,0.3,0.47,0.91,0,1.49,0.71,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,Happy
61,,,,,0.77,0.18,0,0.76,1.38,1.15,0,0.58,1.61,1.5,0.3,1.11,0.85,0.5,1.15,0.38,0.09,1,1,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,Happy
62,,,,,0.04,0,0.03,0.76,2.2,0.94,0.7,1.88,2.35,1.34,0.72,1.2,0.7,0.64,1.39,0.22,0.09,1,1,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,Happy
63,,,,,0,0,0.03,0.25,2.36,1.15,0.97,2.57,2.27,1.56,0.42,1.18,0,0.64,1.01,0.45,0.09,0,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,Happy
64,,,,,0.66,0.26,0.41,0.25,2.22,0.8,0.97,2.78,2.84,0.91,0.63,1.42,0.18,0.14,2.12,0.45,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,Happy
65,,,,,0.66,0.26,0.71,0.25,1.4,0.27,0.39,2.06,2.2,1.01,1.23,2.83,0.56,0,1.83,0.45,0.07,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,Happy
66,,,,,1.26,0.26,0.71,0,1.31,0.66,0.14,2.13,2.34,0.8,1.23,2.88,0.56,0,1.19,0.22,0.07,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,Happy
67,,,,,0.62,0.46,0.33,0,1.36,0.7,0.26,2,2.14,1.21,1.02,1.75,0.39,0,0.12,0,0.65,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,Happy
68,,,,,0.77,0.46,0.06,0,1.62,1.35,0.13,1.95,2.01,0.75,0.5,1.37,1.05,0.03,0.12,0.01,0.91,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,Happy
69,,,,,0.17,0.46,0.12,0,2.1,0.75,0.11,1.48,2.25,1.26,0.61,1.7,1.05,0.73,0.04,0.01,1.08,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,Happy
70,,,,,0.26,0,0.62,0,2.43,1.44,0,1.75,2.11,1.26,0.61,1.7,1.05,0.93,0,0.25,0.5,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,Happy
71,,,,,0.11,0,0.56,0,3.17,1.36,0,2.4,3.4,1.59,0.1,0.61,0,0.89,0.27,0.53,0.17,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,Happy
72,,,,,0.11,0,0.69,0,3.23,2.44,0,2.81,3.35,1.65,0,0.73,0,0.2,0.27,0.78,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,Happy
73,,,,,0,0,0.19,0,3.08,2.62,0,2.64,3.31,1.55,0.21,2.07,0.09,0.2,0.27,0.91,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,Happy
74,,,,,0,0,0.46,0,2.73,2.8,0,1.84,2.94,1.87,0.21,1.87,0.09,0.2,0.64,0.75,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,Happy
75,,,,,0,0,0.67,0,2.84,2.67,0.11,1.71,3.04,2.22,0.28,1.81,0.2,0.37,1.16,0.5,0,0,1,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,Happy
76,,,,,0,0,1.06,0,2.79,1.87,0.34,1.6,2.83,1.78,0.48,0.93,0.23,0.17,1.5,0.66,0,0,1,0,0,1,1,0,1,1,1,1,1,0,1,1,0,0,0,Happy
77,,,,,0.72,0,0.79,0,2.32,1.89,0.34,1.38,1.85,1.49,1,1.86,0.23,0.17,1.04,0.68,0.05,0,1,0,0,1,1,0,1,1,1,1,0,0,1,1,0,0,0,Happy
78,,,,,0.91,0.17,0.4,0.25,1.82,1.42,0.23,0.89,1.52,1.28,0.94,1.51,0.12,0,0.93,1.29,0.05,0,1,0,0,1,1,0,1,1,1,1,0,0,1,1,0,0,0,Happy
79,,,,,0.97,0.17,0,0.29,1.4,1.8,0,0.31,1.52,1.98,0.52,1.06,0,0,0.59,1.24,0.05,0,1,0,0,1,1,0,1,1,1,1,0,0,1,1,0,0,0,Happy
80,,,,,0.25,0.17,0,0.29,1.93,1.85,0.01,0.86,2.51,1.92,0,0.26,0,0,0.7,1.26,0.06,0,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,Happy
81,,,,,0.06,0,0.46,0.05,2.58,2.86,0.15,1.74,2.64,1.61,0,0.41,0,0,0.76,0.64,0.06,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,Happy
82,,,,,0,0,0.48,0,3.19,3.64,0.15,2.39,2.98,1.28,0.2,0.56,0,0.61,1.02,0.4,0.06,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,Happy
83,,,,,0,0,0.48,0,2.67,3.16,0.14,2.22,2.62,1.34,0.2,0.43,0,0.61,1.32,0.23,0.23,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,Happy
84,,,,,0,0.18,0.01,0,1.61,1.74,0,1.24,2.65,1.34,0.2,0.66,0,0.61,1.2,0.23,0.52,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,Happy
85,,,,,0.38,0.18,0,0,1.56,1.36,0,1.52,2.6,1.85,0.06,1.02,0.28,0.03,1.43,0.78,0.52,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,Happy
86,,,,,0.38,0.18,0,0.07,1.93,1.82,0.03,1.7,2.84,1.7,0.06,1.02,0.28,0.03,1.38,0.78,0.29,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,Happy
87,,,,,0.65,0,0,0.07,2.76,2.83,0.03,2.05,2.92,1.34,0.06,0.51,0.58,0.03,1.02,0.78,0.38,1,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,Happy
88,,,,,0.27,0,0.49,0.07,3.02,2.49,0.03,2.46,3.21,1.74,0.16,0.59,0.58,0,0.89,0.51,0.49,1,1,0,0,1,1,0,1,1,1,0,1,0,0,1,1,0,0,Happy
89,,,,,0.27,0,0.49,0,2.45,2.16,0,2.08,3.01,1.67,0.29,0.96,0.58,0,0.59,1.11,1.03,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,1,Happy
90,,,,,0.36,0,0.8,0,2.46,1.98,0.13,2.47,3,1.88,0.29,1.17,0.27,0,1.42,2.32,0.75,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,1,Happy
91,,,,,0.36,0.13,0.31,0,2.13,1.85,0.13,1.9,3.09,1.21,0.42,0.58,0.11,0,1.85,1.89,0.64,1,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,1,Happy
92,,,,,0.36,0.13,0.49,0,2.9,2.58,0.13,2.03,3.11,1.68,0.37,0.64,0.33,0.03,1.6,1.47,0.1,1,1,0,0,1,1,0,1,1,1,0,0,0,1,1,1,0,1,Happy
93,,,,,0.24,0.13,0.18,0,2.87,2.19,0,2.29,3.5,2.31,0.37,0.43,0.33,0.03,1.11,0.47,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,1,Happy
94,,,,,0.24,0,0.41,0,2.56,2.29,0,2.15,2.88,1.68,0.34,0.76,0.22,0.03,0.92,1.11,0,1,1,0,0,1,1,0,1,1,1,0,0,0,1,1,1,0,1,Happy
95,,,,,0.72,0.08,0.39,0.02,2.27,1.02,0,2.69,3.28,1.64,0.25,0.61,0,0,1.68,1.32,0,1,0,0,0,1,1,0,1,1,1,0,0,0,1,1,1,0,1,Happy
96,,,,,0.48,0.08,0.55,0.02,2.18,1.36,0,2.52,2.87,1.76,0.25,1.33,0.49,0.03,1.93,1.99,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,0,1,Happy
97,,,,,0.56,0.08,0.4,0.02,2.33,1.29,0,2.84,3.27,2.4,0,1.12,0.49,0.03,2.07,1.99,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,Happy
98,,,,,0.08,0,0.24,0,2.56,1.89,0.12,2.2,3.05,2.51,0,1.29,0.49,0.03,1.3,1.6,0.57,1,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,1,Happy
99,,,,,0.08,0,0.08,0,2.53,1.82,0.12,2.07,3.21,2.25,0,0.57,0,0,1.15,0.98,0.57,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,0,1,Happy
100,,,,,0,0,0.15,0,2.82,2.08,0.12,1.79,3.28,1.74,0,0.72,0,0.11,1.01,0.53,0.78,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,1,0,1,Happy
101,,,,,0,0,0.31,0.25,2.62,2.05,0,1.98,3.09,1.16,0,0.88,0,0.17,1.03,1.5,0.22,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,1,0,0,Happy
102,,,,,0,0,0.74,0.25,2.59,1.83,0,1.77,3.03,0.9,0.24,1.99,0,0.27,0.59,2.07,0.22,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,Happy
103,,,,,0,0,0.85,0.25,2.58,2.02,0.62,2,2.74,1.34,0.24,2.16,0,0.16,0.31,1.81,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,Happy
104,,,,,0,0,0.68,0,2.44,2.07,0.83,1.59,2.91,1.41,0.24,1.56,0.26,0.1,0.56,0.84,0.08,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,Happy
105,,,,,0,0,0.26,0,2.63,1.78,1.14,1.68,3.09,1.51,0,0.58,0.26,0,0.62,0,0.08,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,Happy
106,,,,,0,0,0.3,0,2.62,1.8,0.52,1.48,3.37,1.5,0,0.63,0.26,0.25,0.45,0.72,0.34,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,Happy
107,,,,,0.13,0,0.3,0.03,2.71,2.08,0.31,2.02,3.11,2.11,0,0.81,0,0.25,0.39,1.44,0.26,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,Happy
108,,,,,0.47,0,0.84,0.03,2.86,2.78,0,2.04,2.57,2.34,0,0.85,0.44,0.25,0.63,2.34,0.26,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,Happy
109,,,,,0.61,0,0.56,0.28,2.63,1.97,0,1.76,2.41,2.4,0.15,0.64,0.66,0,1.3,1.99,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,Happy
110,,,,,0.49,0,0.56,0.25,2.83,1.77,0.06,1.53,2.72,2.48,0.29,0.46,0.81,0,1.09,1.27,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,Happy
111,,,,,1.38,0.52,0.29,0.69,2.32,0.95,0.06,1.46,2.96,2.06,0.29,1.24,0.74,0,1.02,1.07,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,Happy
112,,,,,1.23,0.52,0.68,0.44,2.23,0.86,0.06,2.13,2.72,1.79,0.59,2.23,1.26,0.41,0.23,1.38,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,Happy
113,,,,,1.23,0.52,1.54,0.77,1.97,0.46,0,2.24,2.29,1.64,0.68,2.67,1.12,0.77,0.23,1.59,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,Happy
114,,,,,0,0,1.27,0.33,1.82,0.75,0.11,1.89,2.21,2.02,0.68,1.71,0.75,0.83,0,0.88,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,Happy
115,,,,,0,0,0.86,0.33,1.85,0.88,0.11,1.52,2.73,2.04,0.22,0.71,0,0.42,0.19,0.71,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,Happy
116,,,,,0.49,0.25,0.63,0,2.38,1.79,0.16,1.96,3.02,2.22,0,0.27,0.06,0.06,0.93,0.5,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,Happy
117,,,,,0.49,0.25,0.69,0,3.03,2.17,0.05,3.17,3.15,1.98,0.22,0.78,0.35,0,1.76,0.61,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,Happy
118,,,,,0.76,0.25,0.79,0,3.55,3.7,0.23,3.35,2.69,1.89,0.47,1.5,0.86,0,1.57,0.3,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,Happy
119,,,,,0.28,0,0.35,0,3.5,3.21,0.17,3.66,3.09,1.85,0.47,1.9,0.8,0,1.02,0.62,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,Happy
120,,,,,0.71,0,0.29,0.32,2.56,2.4,0.17,3.03,2.66,1.75,0.25,1.93,0.51,0.26,0.19,1.07,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,Happy
121,,,,,0.44,0,0.19,0.32,2.06,1.38,0.09,2.14,2.47,1.96,0,0.94,0,0.46,0.19,1.25,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,Happy
122,,,,,0.44,0,0.06,0.32,1.69,1.62,0.18,1.38,2.06,1.63,0,0.54,0.14,0.46,0.41,1.49,0.08,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,Happy
123,,,,,0,0,0.1,0.22,1.8,1.62,0.18,0.95,2.22,1.67,0,0.63,0.28,0.81,0.97,1.19,0.08,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,Happy
124,,,,,0.26,0,0.1,0.22,1.68,0.98,0.16,1.86,2.72,1.8,0.16,0.75,0.28,0.61,1.67,0.82,0.27,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,Happy
125,,,,,0.26,0,0.62,0.22,2.05,0.49,0.25,2.32,2.6,2.24,0.16,1.67,0.55,0.85,1.36,0.77,0.2,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,Happy
126,,,,,0.26,0,0.58,0,2.45,1.2,0.25,2.1,2.59,2.23,0.16,2.34,0.57,0.38,0.8,0.53,0.36,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,Happy
127,,,,,0,0,0.6,0,3.02,1.4,0.18,1.94,2.8,1.97,0.32,2.84,0.57,0.38,0.1,1.04,0.17,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,Happy
128,,,,,0,0,0.01,0,2.64,1.28,0,1.47,2.92,1.38,0.35,2.4,0.16,0.14,0,0.53,0.17,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,Happy
129,,,,,0.4,0.7,0.01,0.26,2.65,1,0,1.83,3.36,1.64,0.35,1.09,0,0,0.3,0.62,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,Happy
130,,,,,0.73,0.7,0,0.26,2.21,1.42,0,2.09,3.09,1.89,0.04,0.84,0.14,0,0.68,0.47,0,0,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,Happy
131,,,,,0.73,0.74,0,0.26,2.74,2.26,0.02,2.88,3.65,2.45,0.21,1.04,0.14,0,0.94,0.84,0,1,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,Happy
132,,,,,1.03,0.51,0.06,0,3.02,3.19,0.02,3.15,3.33,2.2,0.57,1.46,0.14,0,0.98,0.93,0.21,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,Happy
